code,
a1,Afghanestan
a2,Al Arabiyah as Suudiyah
a3,Al Bahrayn
a4,Al Imarat al Arabiyah al Muttahidah
a5,Al Jaza'ir
a6,Al Kuwayt
a7,Al Maghrib
a8,Al Urdun
a9,Al Yaman
a10,American Samoa
a11,Andorra
a12,Angola
a13,Anguilla
a14,Antarctica
a15,Antigua and Barbuda
a16,Aomen
a17,Aotearoa
a18,Argentina
a19,Aruba
a20,Aṣ-Ṣaḥrā’ al-Gharbīyah
a21,As-Sudan
a22,Australia
a23,Azarbaycan
a24,Bahamas
a25,Bangladesh
a26,Barbados
a27,Belau
a28,Belgique/Belgie
a29,Belize
a30,Benin
a31,Bermuda
a32,Bharat
a33,Bhutan
a34,Bod
a35,Bolivia
a36,Bosna i Hercegovina
a37,Botswana
a38,Brasil
a39,Bulgaria
a40,Burkina Faso
a41,Burundi
a42,Byelarus
a43,Cabo Verde
a44,Cameroon
a45,Canada
a46,Cayman Islands
a47,Ceska Republika
a48,Chile
a49,Choson
a50,Christmas Island
a51,Cocos (Keeling) Islands
a52,Colombia
a53,Comores
a54,Cook Islands
a55,Costa Rica
a56,Cote d'Ivoire
a57,Crna Gora
a58,Cuba
a59,Danmark
a60,Dawlat Qatar
a61,Deutschland
a62,Dhivehi Raajje
a63,Djibouti
a64,Dominica
a65,"Dominicana, Republica"
a66,Ecuador
a67,Eesti Vabariik
a68,Éire
a69,El Salvador
a70,Ellas or Ellada
a71,España
a72,Estados Unidos Mexicanos
a73,Fiji
a74,Filastin
a75,Foroyar
a76,France
a77,Gabon
a78,Ghana
a79,Gibraltar
a80,Great Britain
a81,Grenada
a82,Guadeloupe
a83,Guam
a84,Guatemala
a85,Guinea Ecuatorial
a86,Guine-Bissau
a87,Guinee
a88,Guyana
a89,Guyane
a90,Hagere Ertra
a91,Haiti
a92,Han-guk
a93,Hayastan
a94,Honduras
a95,Hrvatska
a96,Ile de la Réunion
a97,Indonesia
a98,Iran
a99,Iraq
a100,Islas Malvinas
a101,Italia
a102,Ityop'iya
a103,Jamaica
a104,Jamhuri ya Muungano wa Tanzania
a105,Jumhurii Tojikiston
a106,Kalaallit Nunaat
a107,Kampuchea
a108,Kenya
a109,"Kibris, Kypros"
a110,"Kiribati, Kiribas"
a111,"Kosovë,Косово"
a112,Kyrgyz Respublikasy
a113,Lao
a114,Latvija
a115,Lesotho
a116,Liberia
a117,Libiyah
a118,Liechtenstein
a119,Lietuva
a120,Lubnan
a121,"Luxembourg, Letzebuerg"
a122,Lyoveldio Island
a123,Madagascar
a124,Magyarorszag
a125,Makedonija
a126,Malawi
a127,Malaysia
a128,Mali
a129,Malta
a130,Marshall Islands
a131,Martinique
a132,Mauritius
a133,Mayotte
a134,Micronesia
a135,Misr
a136,Mocambique
a137,Moldova
a138,Monaco
a139,Mongol Uls
a140,Montserrat
a141,Muritaniyah
a142,Myanma Naingngandaw
a143,Namibia
a144,Nauru
a145,Nederland/Holland
a146,Nederlandse Antillen
a147,Negara Brunei Darussalam
a148,Nepal
a149,Nicaragua
a150,Niger
a151,Nigeria
a152,Nippon
a153,Niue
a154,Norge
a155,Northern Mariana Islands
a156,Nouvelle-Calédonie
a157,Österreich
a158,Pakistan
a159,Panama
a160,Papua Niu Gini
a161,Paraguay
a162,Peru
a163,Pilipinas
a164,Pitcairn Island
a165,Polska
a166,Polynésie Française
a167,Portugal
a168,Prathet Thai
a169,Puerto Rico
a170,Qazaqstan
a171,Republica Oriental del Uruguay
a172,Republique Centrafricaine
a173,République Démocratique du Congo
a174,République du Congo
a175,Republique Togolaise
a176,Romania
a177,Rossiya
a178,Rwanda
a179,Saint Kitts and Nevis
a180,Saint Lucia
a181,Saint Vincent and the Grenadines
a182,Sak'art'velo
a183,Saltanat Uman
a184,Samoa
a185,San Marino
a186,Sao Tome e Principe
a187,"Schweiz (German), Suisse (French), Svizzera (Italian)"
a188,Senegal
a189,Seychelles
a190,Shqiperia
a191,Sierra Leone
a192,Singapore
a193,Slovenija
a194,Slovensko
a195,Solomon Islands
a196,Somalia
a197,South Africa
a198,South Sudan
a199,Srbija
a200,Sri Lanka
a201,Status Civitatis Vaticanæ
a202,Status Civitatis Vaticanæ
a203,Suomen Tasavalta
a204,Suriname
a205,Suriyah
a206,Sverige
a207,Swaziland
a208,T'ai-wan
a209,Tchad
a210,Terres Australes et Antarctiques Françaises
a211,The Gambia
a212,Timor
a213,Timor
a214,Tokelau
a215,Tonga
a216,"Trinidad, Tobago"
a217,Tunis
a218,Turkiye
a219,Turkmenistan
a220,Turks and Caicos Islands
a221,Tuvalu
a222,Uganda
a223,Ukrayina
a224,United Kingdom
a225,United States
a226,Uzbekiston Respublikasi
a227,Vanuatu
a228,Venezuela
a229,Viet Nam
a230,Virgin Islands (British)
a231,Virgin Islands (U.S.)
a232,Wallis et Futuna
a233,Xianggang
a234,Yisra'el
a235,Zambia
a236,Zhong Guo
a237,Zimbabwe
